Date,MSFT,AAPL,AMZN,GOOG,SP500
2020-06-30 00:00:00-04:00,0.3215001425063742,0.1070188164601822,0.8932328582855568,-0.0935288198768803,-0.04512194012396111
2020-07-01 00:00:00-04:00,0.3317135709191048,0.10416244285365238,1.0075124606616435,-0.06306363859949121,-0.028901206482364706
2020-07-02 00:00:00-04:00,0.3451027649953336,0.10416244285365238,1.0185705758074404,-0.02981766871969892,-0.01415998687594143
2020-07-06 00:00:00-04:00,0.38321073208289425,0.1444883109084448,1.1775210534236493,0.008840506594481913,0.03762732818846824
2020-07-07 00:00:00-04:00,0.36218252678080715,0.1396855977541011,1.1232600393873575,-0.00427833078091744,0.0017898713234236903
2020-07-08 00:00:00-04:00,0.4014919699472027,0.17562301609725792,1.2004664023431542,0.009214602009311849,0.027438596413498266
2020-07-09 00:00:00-04:00,0.4142804938103705,0.18241321051546205,1.2972437468622668,0.027907575235183304,0.008801094272294667
2020-07-10 00:00:00-04:00,0.40870136903106374,0.18518730068989872,1.3138022640775064,0.06625387751533246,0.043169719513972395
2020-07-13 00:00:00-04:00,0.3520548308826778,0.17785902955145008,1.2222870591168684,0.028344083313321593,0.01210348557927213
2020-07-14 00:00:00-04:00,0.36304093714852387,0.20402554908647427,1.2032214035383528,0.03986664071160582,0.056171232054797564
2020-07-15 00:00:00-04:00,0.3603802448361984,0.21508012118584652,1.1316012637029582,0.031212211587854467,0.08642483966280398
2020-07-16 00:00:00-04:00,0.32501910953370344,0.19516558997231648,1.123050286920437,0.03664934403106433,0.0749755832946901
2020-07-17 00:00:00-04:00,0.31609316101983487,0.19193583588619406,1.0868922780978338,0.03359397776660641,0.08451828349851692
2020-07-20 00:00:00-04:00,0.39093520451792796,0.22555495734306552,1.3107897997294302,0.09615791567047666,0.11276130859869395
2020-07-21 00:00:00-04:00,0.36647417166125185,0.20307372642938396,1.2549752792113686,0.08705441982292131,0.11844943854241267
2020-07-22 00:00:00-04:00,0.39222268441679004,0.20758611879502156,1.2183881651339694,0.09961211407607576,0.13795170735365042
2020-07-23 00:00:00-04:00,0.3131747285528536,0.134261877565092,1.1103240432790467,0.03375609846520005,0.09590497145462244
2020-07-24 00:00:00-04:00,0.30253236626169056,0.13045277566621297,1.1316393740679604,0.02900493447085179,0.07503789736356022
2020-07-27 00:00:00-04:00,0.3244181680152165,0.16680432807561227,1.1757764132792345,0.051863191842515366,0.09981168205807082
2020-07-28 00:00:00-04:00,0.3087118899486323,0.1410105421378529,1.1234601915333235,0.014626617161190307,0.07796538688476405
2020-07-29 00:00:00-04:00,0.3262209925706772,0.17061355935095684,1.1551092496141753,0.041662336759291534,0.11963696665488016
2020-07-30 00:00:00-04:00,0.32484750885178787,0.18965881009242086,1.1726019071501945,0.05342198616514346,0.10690632955628628
2020-07-31 00:00:00-04:00,0.3343743988841433,0.35642882611069854,1.2801321929762697,-0.00704675102016502,0.1328470405690665
2020-08-03 00:00:00-04:00,0.4333341382223684,0.4007711865386551,1.2298084742066961,-0.017658996890195733,0.15731866561534166
2020-08-04 00:00:00-04:00,0.40544027781110326,0.41281936989349205,1.255489914598307,-0.029481058959356012,0.1697158588596959
2020-08-05 00:00:00-04:00,0.4024361128295207,0.4194023032138766,1.3185971880161829,-0.018706692390731656,0.19186431368123813
2020-08-06 00:00:00-04:00,0.43170345695967516,0.48299691672818573,1.3376343335506509,0.014327302772824341,0.2141480790523269
2020-08-07 00:00:00-04:00,0.39848780496562014,0.4401096534083295,1.2827824633974165,0.007331566289496463,0.2163567948648494
2020-08-10 00:00:00-04:00,0.36218252678080715,0.46690377817776246,1.264384175584665,0.009339237053418466,0.22593077927468042
2020-08-11 00:00:00-04:00,0.3203843989421406,0.4112826362356262,1.200046897409313,-0.010339019009680563,0.1980316260974111
2020-08-12 00:00:00-04:00,0.37025074319052387,0.47159082877189973,1.277806297035867,0.02245807442881782,0.24664168667886
